Algorithm;GraphID;Vertices;Edges;TotalCost;Operations;TimeMs;MSTEdges
Prim;1;6;9;100.00;33;џэт.69;5
Kruskal;1;6;9;100.00;21;0.22;5
Prim;2;4;4;122.00;17;0.02;3
Kruskal;2;4;4;122.00;14;0.01;3
Prim;3;4;6;32.00;23;0.01;3
Kruskal;3;4;6;32.00;12;0.01;3
Prim;4;6;8;129.00;27;0.02;5
Kruskal;4;6;8;129.00;18;0.01;5
Prim;5;5;8;206.00;29;0.01;4
Kruskal;5;5;8;206.00;16;0.01;4
Prim;6;6;8;163.00;33;0.01;5
Kruskal;6;6;8;163.00;23;0.01;5
Prim;7;4;5;44.00;21;0.02;3
Kruskal;7;4;5;44.00;12;0.01;3
Prim;8;6;8;187.00;31;0.02;5
Kruskal;8;6;8;187.00;22;0.02;5
Prim;9;4;6;68.00;23;0.01;3
Kruskal;9;4;6;68.00;13;0.01;3
Prim;10;5;9;136.00;35;0.02;4
Kruskal;10;5;9;136.00;19;0.01;4
Prim;11;12;15;562.00;61;0.02;11
Kruskal;11;12;15;562.00;46;0.02;11
Prim;12;12;25;220.00;85;0.04;11
Kruskal;12;12;25;218.00;59;0.04;11
Prim;13;15;16;736.00;65;0.03;14
Kruskal;13;15;16;736.00;55;0.02;14
Prim;14;14;32;415.00;113;0.05;13
Kruskal;14;14;32;415.00;114;0.05;13
Prim;15;11;17;447.00;63;0.03;10
Kruskal;15;11;17;447.00;50;0.02;10
Prim;16;14;30;266.00;107;0.04;13
Kruskal;16;14;30;256.00;96;0.03;13
Prim;17;12;17;315.00;65;0.03;11
Kruskal;17;12;17;315.00;55;0.02;11
Prim;18;15;22;485.00;85;0.04;14
Kruskal;18;15;22;485.00;73;0.07;14
Prim;19;10;23;193.00;75;0.04;9
Kruskal;19;10;23;177.00;56;0.04;9
Prim;20;11;15;314.00;55;0.02;10
Kruskal;20;11;15;314.00;41;0.02;10
Prim;21;22;37;964.00;137;0.06;21
Kruskal;21;22;37;964.00;149;0.06;21
Prim;22;21;58;520.00;193;0.10;20
Kruskal;22;21;58;520.00;209;0.05;20
Prim;23;30;64;873.00;233;0.06;29
Kruskal;23;30;64;873.00;217;0.05;29
Prim;24;21;56;477.00;193;0.05;20
Kruskal;24;21;56;477.00;193;0.04;20
Prim;25;27;70;496.00;249;0.07;26
Kruskal;25;27;70;496.00;218;0.05;26
Prim;26;24;64;768.00;223;0.07;23
Kruskal;26;24;64;744.00;199;0.04;23
Prim;27;28;34;1292.00;129;0.04;27
Kruskal;27;28;34;1292.00;130;0.03;27
Prim;28;22;32;879.00;125;0.05;21
Kruskal;28;22;32;879.00;123;0.05;21
Prim;29;20;29;876.00;109;0.04;19
Kruskal;29;20;29;852.00;108;0.03;19
Prim;30;25;28;1271.00;113;0.06;24
Kruskal;30;25;28;1271.00;98;0.05;24
Prim;31;21;40;756.00;143;0.06;20
Kruskal;31;21;40;756.00;144;0.04;20
Prim;32;24;25;1202.00;99;0.03;23
Kruskal;32;24;25;1202.00;86;0.04;23
Prim;33;24;68;407.00;229;0.04;23
Kruskal;33;24;68;407.00;174;0.05;23
Prim;34;25;44;859.00;163;0.03;24
Kruskal;34;25;44;859.00;157;0.03;24
Prim;35;21;70;371.00;229;0.05;20
Kruskal;35;21;70;359.00;188;0.06;20
